source_workspace_id;source_attribute;object_title;legacy_object_id;legacy_object_type;aac_lookup_category
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Interactions Overview;3839741;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;[Mitel Group] Interaction Details;3962636;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Queue Voice Callback;3975587;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Callback Interaction Details;3976430;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Customer Journey Analytics;3959718;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Overflow Queue Overview;3853221;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Overflow Queue Interaction Details;3853218;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Interaction Details;988804;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Interaction Journey Overview;3959329;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Callback Request Execution Time;3973777;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Dialer Result Download;3840042;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;First Contact Resolution Details;3969263;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;_Callback Interactions Accepted Start Time;3973775;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Customer Journey (plugin data);3959330;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionendtime;Inbound Interactions Overview;1440;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;First Contact Resolution Details;3969263;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Interaction Journey Overview;3959329;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Callback Request Execution Time;3973777;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Interaction Details;988804;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Customer Journey (plugin data);3959330;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Interactions Overview;3839741;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;_Callback Interactions Executed Start Time;3973776;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Overflow Queue Overview;3853221;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Dialer Result Download;3840042;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Report 3;3920532;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Agent Conduct;3837479;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Inbound Interactions Overview;1440;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Overflow Queue Interaction Details;3853218;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Callback Interaction Details;3976430;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Customer Journey Analytics;3959718;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Copy 1 of _Callback Interactions Executed Start Time;3973779;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;[Mitel Group] Interaction Details;3962636;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Ring No Answer Call Details;3837500;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualinteractionstarttime;Queue Voice Callback;3975587;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentendtime;Inbound Call Detail;3840046;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentendtime;Customer Journey Analytics;3959718;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentendtime;[Mitel Group] Interaction Lifecycle;3962637;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentendtime;Interaction Lifecycle;3959696;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentstarttime;[Mitel Group] Interaction Lifecycle;3962637;visualizationObject;visualization
